score,name,version,candidate_type,production_comparable,production_minimum_passes,industry_leading_passes,full_sharpe,avg_oos_sharpe,min_oos_sharpe,sharpe_decay,max_drawdown,win_rate,annual_return,total_return,wf_folds,source
149.09,v29_price_meta_longhorizon_guard,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,True,2.2848,2.4653,0.0425,-0.0216,-0.0854,0.5699,0.2069,3.6516,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
147.749,v29_price_meta_lowvol_small_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.2668,2.4573,0.0266,0.0046,-0.0982,0.5731,0.2209,4.1482,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
147.6947,v29_price_meta_lowvol_recent_guard,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.2568,2.4867,0.177,-0.0004,-0.0963,0.5726,0.2052,3.591,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
147.4631,v29_price_meta_lowvol_micro_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.2585,2.4535,0.035,0.0057,-0.0999,0.5731,0.2216,4.1722,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
146.6168,v29_price_meta_lowvol_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.2342,2.4437,0.0595,0.0081,-0.105,0.5726,0.2238,4.2499,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
146.1698,v29_price_meta_lowvol_recent_guard,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,True,2.1838,2.4237,0.1607,-0.0146,-0.0982,0.571,0.1982,3.3566,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
145.8491,v29_price_meta_lowvol_small_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.1895,2.3913,0.0088,-0.009,-0.1008,0.5705,0.2129,3.8465,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
145.5627,v29_price_meta_lowvol_micro_carry_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.183,2.3891,0.0173,-0.0086,-0.1025,0.571,0.2137,3.8739,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
144.4327,v29_price_meta_lowvol_crisis,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.1585,2.3782,0.0422,-0.0055,-0.1076,0.5705,0.2157,3.9422,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
144.2864,v29_price_meta_longhorizon_guard,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,True,2.0285,2.4013,0.198,-0.072,-0.0833,0.5652,0.1595,16.379,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
143.7371,v29_price_meta_lowvol_blended_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.0323,2.3903,0.1527,-0.0598,-0.0877,0.5652,0.1681,19.1952,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
143.7192,v29_price_meta_ultradefensive,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.1123,2.4018,0.3931,0.0347,-0.109,0.58,0.1863,2.6407,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer.json
142.2542,v29_price_meta_lowvol_small_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.0102,2.3716,0.1906,-0.0539,-0.0962,0.5659,0.1695,19.6784,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
142.243,v29_price_meta_lowvol_recent_guard,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.9686,2.3979,0.3394,-0.0659,-0.0949,0.5659,0.1525,14.3188,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
142.2297,v29_price_meta_balanced_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,2.0685,2.3504,0.0529,-0.0388,-0.1048,0.5638,0.2065,36.5663,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
141.9487,v29_price_meta_lowvol_micro_carry_floor,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,True,2.0054,2.3679,0.1979,-0.0528,-0.0979,0.5659,0.1698,19.7749,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
141.361,v29_price_meta_lowvol_blended_floor,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9698,2.3471,0.1166,-0.0768,-0.0903,0.5648,0.1608,16.7283,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
141.1295,v29_price_meta_ultradefensive,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,2.0562,2.342,0.3791,0.0236,-0.1098,0.5783,0.1814,2.5179,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_v31_execution_constrained.json
141.0983,v29_price_meta_lowvol_recent_guard,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.9804,2.355,0.1316,-0.0299,-0.0956,0.5701,0.1666,5.0213,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_coverage500_diagnostic.json
141.0277,v29_price_meta_lowvol_crisis,V29-dynamic-sleeve-portfolio-layer,grid_result,True,True,False,1.9905,2.357,0.2193,-0.0496,-0.103,0.5659,0.1706,20.0662,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_diagnostic.json
140.4348,v29_price_meta_lowvol_recent_guard,V29-dynamic-sleeve-portfolio-layer-v31-execution-constrained,grid_result,True,True,False,1.9342,2.3586,0.3068,-0.0702,-0.0972,0.5652,0.1481,13.1688,5,/Users/jacklondon/Documents/study/lianghua/data/backtest_results/quant_logic_research_v29_portfolio_layer_20y_v31_execution_constrained.json
